FilmID,Title,Release_Date,DirectorID,Lead_Actor_Actress,LanguageID,Industry,GenreID,Budget,First_Day_Collection_Worldwide,Worldwide_Collection_in_Crores,Overseas_Collection,India_Gross_Collection,Verdict,IMDb_Rating,Runtime_mins,OTT_Platform,Year,Month,Month_Name,Week_Name
151,Munthirivallikal Thalirkkumbol,20-01-2017,232,Mohanlal,509,Mollywood,630,10.0,2.6,50.0,15.0,35.0,Blockbuster,6.9,154,Sun NXT,2017,1,January,Friday
154,Ezra,10-02-2017,234,Prithviraj Sukumaran,509,Mollywood,661,8.0,1.6,48.6,8.1,40.5,Blockbuster,6.6,147,Amazon Prime Video,2017,2,February,Friday
161,Ramaleela,27-10-2017,239,Dileep,509,Mollywood,664,14.0,2.1,40.8,8.7,32.1,Blockbuster,7.3,158,Amazon Prime Video,2017,10,October,Friday
169,Aadu 2,22-12-2017,244,Jayasurya,509,Mollywood,631,7.5,3.4,35.3,6.3,29.0,Blockbuster,7.1,160,ZEE5,2017,12,December,Friday
163,Jomonte Suvisheshangal,03-02-2017,161,Dulquer Salmaan,509,Mollywood,620,12.0,2.7,38.4,8.6,29.8,Super Hit,6.6,156,Amazon Prime Video,2017,2,February,Friday
176,CIA: Comrade in America,19-05-2017,179,Dulquer Salmaan,509,Mollywood,667,7.5,3.1,27.5,3.7,23.8,Super Hit,6.4,134,Amazon Prime Video,2017,5,May,Friday
156,The Great Father,30-03-2017,235,Mammootty,509,Mollywood,626,10.0,4.3,46.6,11.8,34.8,Super Hit,6.8,151,Amazon Prime Video,2017,3,March,Thursday
178,Njandukalude Naattil Oridavela,29-09-2017,252,Nivin Pauly,509,Mollywood,668,5.0,1.6,25.6,6.5,19.1,Super Hit,7.1,131,Amazon Prime Video,2017,9,September,Friday
