FilmID,Title,Release_Date,DirectorID,Lead_Actor_Actress,LanguageID,Industry,GenreID,Budget,First_Day_Collection_Worldwide,Worldwide_Collection_in_Crores,Overseas_Collection,India_Gross_Collection,Verdict,IMDb_Rating,Runtime_mins,OTT_Platform,Year,Month,Month_Name,Week_Name
150,Arjun Reddy,07-12-2023,231,Vijay Deverakonda,505,Tollywood,619,5.0,8.2,50.0,11.6,38.4,Blockbuster,7.9,182,Amazon Prime Video,2023,12,December,Thursday
499,Baby,14-07-2023,418,Anand Deverakonda,505,Tollywood,636,10.0,6.3,81.05,6.0,75.05,Blockbuster,7.1,175,Aha,2023,7,July,Friday
511,Miss. Shetty Mr. Polishetty,07-09-2023,424,Naveen Polishetty,505,Tollywood,742,20.0,5.8,51.0,17.2,33.8,Blockbuster,7.0,149,Netflix,2023,9,September,Thursday
467,Salaar: Part 1 - Ceasefire,22-12-2023,131,Prabhas,505,Tollywood,621,280.0,158.1,617.75,130.0,487.75,Super Hit,6.6,175,Amazon Prime Video,2023,12,December,Friday
472,Adipurush,16-06-2023,359,Prabhas,505,Tollywood,735,500.0,127.5,393.0,50.0,343.0,Disaster,2.7,179,Amazon Prime Video,2023,6,June,Friday
479,Waltair Veerayya,13-01-2023,208,Chiranjeevi,505,Tollywood,606,125.0,44.6,219.0,29.0,190.0,Super Hit,6.2,155,Amazon Prime Video,2023,1,January,Friday
485,Veera Simha Reddy,12-01-2023,253,Nandamuri Balakrishna,505,Tollywood,606,85.0,47.3,130.0,15.0,115.0,Above Average,4.9,170,Amazon Prime Video,2023,1,January,Thursday
495,Virupaksha,21-04-2023,415,Sai Dharam Tej,505,Tollywood,739,40.0,11.0,89.8,14.0,75.8,Super Hit,7.2,145,Amazon Prime Video,2023,4,April,Friday
502,Hi Nanna,07-12-2023,420,Nani,505,Tollywood,741,45.0,9.8,76.35,18.5,57.85,Hit,8.2,155,Amazon Prime Video,2023,12,December,Thursday
524,Samajavaragamana,29-06-2023,435,Sree Vishnu,505,Tollywood,707,5.0,1.9,32.0,9.35,22.65,Blockbuster,7.4,140,Amazon Prime Video,2023,6,June,Thursday
527,Balagam,03-03-2023,438,Priyadarshi Pulikonda,505,Tollywood,643,3.0,0.5,26.55,0.25,26.3,Blockbuster,7.9,131,Amazon Prime Video,2023,3,March,Friday
530,Mad,06-10-2023,441,Anthony,505,Tollywood,631,5.0,1.8,26.0,3.5,22.5,Blockbuster,7.4,127,Amazon Prime Video,2023,10,October,Friday
532,Devil,29-12-2023,442,Nandamuri Kalyan Ram,505,Tollywood,627,30.0,4.4,23.2,1.8,21.4,Disaster,6.5,144,Amazon Prime Video,2023,12,December,Friday
533,Ravanasura,07-04-2023,443,Ravi Teja,505,Tollywood,621,35.0,7.7,23.1,3.0,20.1,Disaster,5.7,141,Amazon Prime Video,2023,4,April,Friday
535,Maa Oori Polimera 2,03-11-2023,445,Rajsekhar Aningi,505,Tollywood,666,8.0,3.0,21.8,2.5,19.3,Blockbuster,7.1,125,Amazon Prime Video,2023,11,November,Friday
537,Mangalavaaram,17-11-2023,183,Payal Rajput,505,Tollywood,715,15.0,3.5,21.35,2.25,19.1,Average,6.8,149,Amazon Prime Video,2023,11,November,Friday
538,Spy,29-06-2023,447,Nikhil Siddharth,505,Tollywood,618,25.0,10.2,21.0,3.5,17.5,Flop,4.7,135,Amazon Prime Video,2023,6,June,Thursday
488,Dasara,30-03-2023,411,Nani,505,Tollywood,698,65.0,37.0,118.5,22.0,96.5,Super Hit,6.6,156,Netflix,2023,3,March,Thursday
492,Bhagavanth Kesari,18-10-2023,230,Nandamuri Balakrishna,505,Tollywood,627,90.0,25.5,114.5,14.8,99.7,Below Average,5.9,164,Amazon Prime Video,2023,10,October,Wednesday
493,Bro,27-07-2023,413,Sai Dharam Tej,505,Tollywood,737,100.0,43.7,114.0,16.8,97.2,Flop,6.1,134,Netflix,2023,7,July,Thursday
503,Kushi,31-08-2023,229,Vijay Deverakonda,505,Tollywood,608,50.0,25.85,76.0,19.0,57.0,Average,5.4,163,Netflix,2023,8,August,Thursday
510,Skanda: The Attacker,28-09-2023,241,Ram Pothineni,505,Tollywood,619,65.0,15.6,53.0,4.25,48.75,Disaster,4.2,167,Disney+ Hotstar,2023,9,September,Thursday
512,Tiger Nageswara Rao,21-10-2023,425,Ravi Teja,505,Tollywood,621,50.0,8.5,50.0,5.0,45.0,Flop,6.0,172,Amazon Prime Video,2023,10,October,Saturday
518,Bholaa Shankar,11-08-2023,429,Chiranjeevi,505,Tollywood,621,100.0,23.15,42.25,6.25,36.0,Disaster,3.3,159,Netflix,2023,8,August,Friday
534,Das Ka Dhamki,22-03-2023,444,Vishwak Sen,505,Tollywood,732,15.0,8.5,22.8,2.7,20.1,Hit,6.1,140,Amazon Prime Video,2023,3,March,Wednesday
