FilmID,Title,Release_Date,DirectorID,Lead_Actor_Actress,LanguageID,Industry,GenreID,Budget,First_Day_Collection_Worldwide,Worldwide_Collection_in_Crores,Overseas_Collection,India_Gross_Collection,Verdict,IMDb_Rating,Runtime_mins,OTT_Platform,Year,Month,Month_Name,Week_Name
275,Marakkar: Lion of the Arabian Sea,02-12-2021,290,Mohanlal,509,Mollywood,696,100.0,20.3,45.4,23.0,22.4,Disaster,5.9,181,Amazon Prime Video,2021,12,December,Thursday
265,Kurup,12-11-2021,299,Dulquer Salmaan,509,Mollywood,694,35.0,18.3,78.9,35.0,43.9,Super Hit,7.0,140,Amazon Prime Video,2021,11,November,Friday
281,The Priest,11-03-2021,308,Mammootty,509,Mollywood,661,15.0,2.55,28.5,10.1,18.4,Super Hit,6.0,140,Amazon Prime Video,2021,3,March,Thursday
