FilmID,Title,Release_Date,DirectorID,Lead_Actor_Actress,LanguageID,Industry,GenreID,Budget,First_Day_Collection_Worldwide,Worldwide_Collection_in_Crores,Overseas_Collection,India_Gross_Collection,Verdict,IMDb_Rating,Runtime_mins,OTT_Platform,Year,Month,Month_Name,Week_Name
205,Ennu Ninte Moideen,19-09-2015,265,Prithviraj Sukumaran,509,Mollywood,676,10.0,0.81,57.2,19.0,38.2,Blockbuster,8.0,166,Amazon Prime Video,2015,9,September,Saturday
207,Two Countries,25-12-2015,266,Dileep,509,Mollywood,620,12.0,2.2,50.3,14.0,36.3,Blockbuster,6.9,154,Sun NXT,2015,12,December,Friday
209,Amar Akbar Anthony,16-10-2015,267,Prithviraj Sukumaran,509,Mollywood,642,7.0,1.6,46.4,13.0,33.4,Blockbuster,6.6,140,Sun NXT,2015,10,October,Friday
200,Premam,19-06-2015,263,Nivin Pauly,509,Mollywood,608,4.0,1.4,77.2,28.0,49.2,All Time Blockbuster,8.3,156,Amazon Prime Video,2015,6,June,Friday
211,Charlie,24-12-2015,269,Dulquer Salmaan,509,Mollywood,677,7.0,2.1,36.1,15.8,20.3,Blockbuster,8.0,130,Amazon Prime Video,2015,12,December,Thursday
212,Oru Vadakkan Selfie,27-03-2015,270,Nivin Pauly,509,Mollywood,678,4.0,1.1,31.5,10.0,21.5,Super Hit,6.7,141,Amazon Prime Video,2015,3,March,Friday
