FilmID,Title,Release_Date,DirectorID,Lead_Actor_Actress,LanguageID,Industry,GenreID,Budget,First_Day_Collection_Worldwide,Worldwide_Collection_in_Crores,Overseas_Collection,India_Gross_Collection,Verdict,IMDb_Rating,Runtime_mins,OTT_Platform,Year,Month,Month_Name,Week_Name
78,Abrahaminte Santhathikal,22-06-2018,170,Mammootty,509,Mollywood,607,10.0,4.5,42.2,14.1,28.1,Blockbuster,6.7,131,Aha,2018,6,June,Friday
85,Aadhi,09-02-2018,177,Pranav Mohanlal,509,Mollywood,618,7.0,2.7,36.0,5.0,31.0,Blockbuster,6.4,158,Aha,2018,2,February,Friday
87,Varathan,04-10-2018,179,Fahadh Faasil,509,Mollywood,627,3.5,2.1,34.2,4.1,30.1,Blockbuster,7.5,130,Amazon Prime Video,2018,10,October,Thursday
96,Sudani from Nigeria,20-04-2018,188,Soubin Shahir,509,Mollywood,645,2.0,2.0,24.7,3.1,21.0,Blockbuster,8.1,123,Netflix,2018,4,April,Friday
92,Theevandi,21-09-2018,184,Tovino Thomas,509,Mollywood,631,5.0,1.7,27.1,2.7,24.4,Super Hit,6.6,144,Amazon Prime Video,2018,9,September,Friday
61,Kayamkulam Kochunni,19-10-2018,154,Nivin Pauly,509,Mollywood,634,40.0,9.5,71.3,20.3,51.0,Super Hit,6.8,152,Amazon Prime Video,2018,10,October,Friday
66,Odiyan,14-12-2018,159,Mohanlal,509,Mollywood,635,50.0,18.3,53.6,13.6,40.0,Flop,5.2,167,Amazon Prime Video,2018,12,December,Friday
100,Koode,17-08-2018,129,Prithviraj Sukumaran,509,Mollywood,648,6.0,1.6,23.3,4.4,18.9,Hit,7.6,155,Amazon Prime Video,2018,8,August,Friday
