FilmID,Title,Release_Date,DirectorID,Lead_Actor_Actress,LanguageID,Industry,GenreID,Budget,First_Day_Collection_Worldwide,Worldwide_Collection_in_Crores,Overseas_Collection,India_Gross_Collection,Verdict,IMDb_Rating,Runtime_mins,OTT_Platform,Year,Month,Month_Name,Week_Name
262,Doctor,09-10-2021,181,Sivakarthikeyan,503,Kollywood,693,40.0,13.5,100.5,20.0,80.5,Blockbuster,7.4,148,Netflix,2021,10,October,Saturday
264,Maanaadu,25-11-2021,264,Silambarasan Rajendar,503,Kollywood,639,35.0,8.4,80.7,17.0,63.7,Blockbuster,8.2,147,SonyLIV,2021,11,November,Thursday
259,Annaatthe,04-11-2021,114,Rajinikanth,503,Kollywood,610,180.0,50.7,172.0,47.7,124.3,Flop,4.0,163,Netflix,2021,11,November,Thursday
283,Aranmanai 3,14-10-2021,186,Arya,503,Kollywood,697,15.0,4.2,24.0,1.0,23.0,Below Average,4.1,155,Amazon Prime Video,2021,10,October,Thursday
284,Enemy,04-11-2021,190,Vishal,503,Kollywood,627,30.0,7.5,25.0,5.0,20.0,Disaster,6.1,159,Amazon Prime Video,2021,11,November,Thursday
276,Sulthan,02-04-2021,285,Karthi,503,Kollywood,606,30.0,8.55,45.0,10.0,35.0,Below Average,6.2,145,Amazon Prime Video,2021,4,April,Friday
257,Master,13-01-2021,296,Joseph Vijay,503,Kollywood,621,135.0,49.78,223.0,44.25,178.75,Super Hit,7.4,179,Amazon Prime Video,2021,1,January,Wednesday
271,Karnan,09-04-2021,303,Dhanush,503,Kollywood,606,40.0,13.55,55.0,4.5,50.5,Hit,8.0,158,Amazon Prime Video,2021,4,April,Friday
